X1,X2
Dayton,Ga. Southern
Texas St.,Ga. Southern
Ga. Southern,UT Arlington
Ga. Southern,La.-Monroe
Louisiana,Ga. Southern
Ga. Southern,Troy
Ga. Southern,South Alabama
UT Arlington,Ga. Southern
Ga. Southern,Texas St.
Georgia St.,Ga. Southern
Ga. Southern,Louisiana
La.-Monroe,Ga. Southern
Ga. Southern,South Alabama
Ga. Southern,Troy
Ga. Southern,Coastal Caro.
Ga. Southern,Appalachian St.
Ga. Southern,Little Rock
Ga. Southern,Arkansas St.
Georgia St.,Ga. Southern
Ga. Southern,La.-Monroe
UT Arlington,Ga. Southern
VCU,Gardner-Webb
Virginia Tech,Gardner-Webb
Furman,Gardner-Webb
Gardner-Webb,Savannah St.
Eastern Ill.,Gardner-Webb
Gardner-Webb,UNCW
Arkansas St.,Gardner-Webb
Gardner-Webb,USC Upstate
Gardner-Webb,Savannah St.
Gardner-Webb,Kennesaw St.
Gardner-Webb,Georgia Tech
Gardner-Webb,Wake Forest
Campbell,Gardner-Webb
Gardner-Webb,USC Upstate
Radford,Gardner-Webb
Gardner-Webb,Hampton
Winthrop,Gardner-Webb
Charleston So.,Gardner-Webb
Gardner-Webb,High Point
Gardner-Webb,UNC Asheville
Gardner-Webb,Longwood
Presbyterian,Gardner-Webb
Gardner-Webb,Charleston So.
Gardner-Webb,Winthrop
Gardner-Webb,UNC Asheville
High Point,Gardner-Webb
Gardner-Webb,Presbyterian
Gardner-Webb,Longwood
Gardner-Webb,High Point
Gardner-Webb,Campbell
Gardner-Webb,Radford
Penn,George Mason
American,George Mason
Ga. Southern,George Mason
George Mason,Southern U.
George Mason,N.C. Central
Cincinnati,George Mason
Baylor,George Mason
George Mason,Morgan St.
George Mason,William & Mary
Vermont,George Mason
George Mason,James Madison
George Mason,Navy
Kansas St.,George Mason
George Mason,Saint Joseph's
George Mason,St. Bonaventure
Davidson,George Mason
George Mason,Rhode Island
George Mason,Massachusetts
George Mason,Fordham
George Mason,Dayton
George Mason,George Washington
VCU,George Mason
Richmond,George Mason
George Mason,La Salle
George Mason,Massachusetts
St. Bonaventure,George Mason
Duquesne,George Mason
George Mason,Richmond
Saint Louis,George Mason
VCU,George Mason
George Mason,George Washington
George Mason,George Washington
St. Bonaventure,George Mason
Stony Brook,George Washington
Siena,George Washington
Virginia,George Washington
Michigan,George Washington
South Carolina,George Washington
George Washington,Manhattan
Vermont,George Washington
Princeton,George Washington
George Washington,Towson
Valparaiso,George Washington
George Washington,Howard
Harvard,George Washington
George Washington,American
George Washington,Saint Joseph's
Dayton,George Washington
Richmond,George Washington
George Washington,La Salle
Duquesne,George Washington
Davidson,George Washington
George Mason,George Washington
George Washington,Fordham
VCU,George Washington
Richmond,George Washington
Saint Louis,George Washington
Duquesne,George Washington
George Washington,Massachusetts
VCU,George Washington
Rhode Island,George Washington
St. Bonaventure,George Washington
Fordham,George Washington
George Mason,George Washington
George Washington,Massachusetts
George Mason,George Washington
Georgetown,UMES
Georgetown,Central Conn. St.
Georgetown,Illinois
Loyola Marymount,Georgetown
Georgetown,South Fla.
Georgetown,Campbell
Georgetown,Richmond
Georgetown,Liberty
Syracuse,Georgetown
SMU,Georgetown
Georgetown,Appalachian St.
Georgetown,Little Rock
Georgetown,Howard
Georgetown,Butler
St. John's (NY),Georgetown
Xavier,Georgetown
Georgetown,Providence
Marquette,Georgetown
Creighton,Georgetown
Georgetown,St. John's (NY)
Georgetown,Xavier
Villanova,Georgetown
Georgetown,Providence
Butler,Georgetown
Seton Hall,Georgetown
Georgetown,Villanova
NA,NA
Georgetown,DePaul
Georgetown,Seton Hall
DePaul,Georgetown
Georgetown,Marquette
Seton Hall,Georgetown
Georgia,Savannah St.
Temple,Georgia
Georgia,Sam Houston St.
Georgia,Illinois St.
Clemson,Georgia
Georgia St.,Georgia
Georgia,Kennesaw St.
Georgia,Texas Southern
Arizona St.,Georgia
Georgia,Oakland
Georgia,Georgia Tech
Georgia,Massachusetts
Tennessee,Georgia
Georgia,Vanderbilt
Auburn,Georgia
Kentucky,Georgia
Florida,Georgia
LSU,Georgia
Georgia,Texas
Arkansas,Georgia
South Carolina,Georgia
Alabama,Georgia
Ole Miss,Georgia
Texas A&M,Georgia
LSU,Georgia
Mississippi St.,Georgia
Ole Miss,Georgia
Auburn,Georgia
Georgia,Florida
Missouri,Georgia
South Carolina,Georgia
Missouri,Georgia
Georgia St.,ETSU
Montana,Georgia St.
Georgia St.,Mercer
Georgia St.,St. Bonaventure
Creighton,Georgia St.
Georgia St.,Georgia
Georgia St.,Tulane
Liberty,Georgia St.
Georgia St.,Alabama
Georgia St.,Chattanooga
Kansas St.,Georgia St.
Georgia St.,UNCW
Georgia St.,UT Arlington
Georgia St.,Texas St.
Georgia St.,Louisiana
Georgia St.,La.-Monroe
Georgia St.,South Alabama
Troy,Georgia St.
Texas St.,Georgia St.
Georgia St.,UT Arlington
Georgia St.,Ga. Southern
La.-Monroe,Georgia St.
Louisiana,Georgia St.
Georgia St.,Troy
Georgia St.,South Alabama
NA,NA
Coastal Caro.,Georgia St.
Georgia St.,Arkansas St.
Georgia St.,Little Rock
Georgia St.,Ga. Southern
Georgia St.,Texas St.
NA,NA
Georgia Tech,Lamar University
Tennessee,Georgia Tech
Georgia Tech,East Carolina
Georgia Tech,UTRGV
Georgia Tech,Prairie View
Northwestern,Georgia Tech
St. John's (NY),Georgia Tech
Georgia Tech,Florida A&M
Gardner-Webb,Georgia Tech
Georgia Tech,Arkansas
Georgia,Georgia Tech
Georgia Tech,Kennesaw St.
Georgia Tech,USC Upstate
Georgia Tech,Wake Forest
Virginia Tech,Georgia Tech
Georgia Tech,Syracuse
Clemson,Georgia Tech
Louisville,Georgia Tech
Georgia Tech,Notre Dame
Duke,Georgia Tech
North Carolina,Georgia Tech
Florida St.,Georgia Tech
Clemson,Georgia Tech
Notre Dame,Georgia Tech
Virginia Tech,Georgia Tech
Florida St.,Georgia Tech
Georgia Tech,Pittsburgh
Miami (FL),Georgia Tech
Virginia,Georgia Tech
Georgia Tech,Boston College
Georgia Tech,NC State
Notre Dame,Georgia Tech
Gonzaga,Idaho St.
Gonzaga,Texas Southern
Gonzaga,Texas A&M
Gonzaga,Illinois
Gonzaga,Arizona
Gonzaga,Duke
Gonzaga,North Dakota St.
Gonzaga,Creighton
Gonzaga,Washington
Tennessee,Gonzaga
North Carolina,Gonzaga
Gonzaga,UT Arlington
Gonzaga,Denver
Gonzaga,North Ala.
Gonzaga,CSU Bakersfield
Gonzaga,Santa Clara
Gonzaga,Pacific
Gonzaga,San Francisco
Gonzaga,Loyola Marymount
Gonzaga,Portland
Gonzaga,Santa Clara
Gonzaga,BYU
Gonzaga,San Diego
Gonzaga,San Francisco
Gonzaga,Saint Mary's (CA)
Gonzaga,Loyola Marymount
Gonzaga,San Diego
Gonzaga,Pepperdine
Gonzaga,BYU
Gonzaga,Pacific
Gonzaga,Saint Mary's (CA)
Gonzaga,Pepperdine
Saint Mary's (CA),Gonzaga
Wyoming,Grambling
Loyola Chicago,Grambling
Grambling,Niagara
IUPUI,Grambling
NA,NA
UCF,Grambling
La.-Monroe,Grambling
Grambling,Portland
Grambling,Southeastern La.
Wisconsin,Grambling
Alabama St.,Grambling
Alabama A&M,Grambling
Grambling,Southern U.
Grambling,Alcorn
Grambling,Texas Southern
Prairie View,Grambling
Jackson St.,Grambling
Grambling,Ark.-Pine Bluff
Grambling,Mississippi Val.
Grambling,Southern U.
Grambling,Alcorn
Texas Southern,Grambling
Prairie View,Grambling
Jackson St.,Grambling
Ark.-Pine Bluff,Grambling
Grambling,Mississippi Val.
Grambling,Alabama St.
Grambling,Alabama A&M
Grambling,Ark.-Pine Bluff
Prairie View,Grambling
South Dakota St.,Grand Canyon
Grand Canyon,Delaware St.
Grand Canyon,Jacksonville
Grand Canyon,Arkansas St.
Seton Hall,Grand Canyon
Utah,Grand Canyon
Grand Canyon,La Salle
Grand Canyon,Boise St.
Nevada,Grand Canyon
Texas,Grand Canyon
Grand Canyon,UNI
Grand Canyon,Mississippi Val.
San Diego,Grand Canyon
Grand Canyon,Utah Valley
Grand Canyon,Seattle U
New Mexico St.,Grand Canyon
Grand Canyon,UTRGV
Grand Canyon,Chicago St.
Grand Canyon,UMKC
Grand Canyon,California Baptist
Grand Canyon,CSU Bakersfield
UTRGV,Grand Canyon
New Mexico St.,Grand Canyon
UMKC,Grand Canyon
Grand Canyon,Chicago St.
Grand Canyon,California Baptist
Grand Canyon,CSU Bakersfield
Utah Valley,Grand Canyon
Seattle U,Grand Canyon
Grand Canyon,Seattle U
Grand Canyon,Utah Valley
New Mexico St.,Grand Canyon
Indiana St.,Green Bay
Iowa,Green Bay
Green Bay,Eastern Wash.
Green Bay,Morehead St.
Oregon,Green Bay
Green Bay,Northern Ill.
Green Bay,Belmont
Bowling Green,Green Bay
Creighton,Green Bay
Michigan St.,Green Bay
Evansville,Green Bay
Green Bay,Milwaukee
Green Bay,Youngstown St.
Green Bay,Cleveland St.
Detroit Mercy,Green Bay
Oakland,Green Bay
IUPUI,Green Bay
Green Bay,UIC
Northern Ky.,Green Bay
Wright St.,Green Bay
Green Bay,Milwaukee
Green Bay,Cleveland St.
Youngstown St.,Green Bay
Green Bay,Oakland
Green Bay,Detroit Mercy
Green Bay,UIC
IUPUI,Green Bay
Green Bay,Wright St.
Northern Ky.,Green Bay
Green Bay,UIC
Wright St.,Green Bay
VCU,Hampton
California,Hampton
Bowling Green,Hampton
Loyola Maryland,Hampton
Hampton,Richmond
Norfolk St.,Hampton
Coastal Caro.,Hampton
William & Mary,Hampton
Hampton,Howard
Saint Peter's,Hampton
Hampton,Charleston So.
Hampton,UNC Asheville
Presbyterian,Hampton
Gardner-Webb,Hampton
Hampton,USC Upstate
Hampton,Campbell
Hampton,Longwood
High Point,Hampton
Radford,Hampton
Winthrop,Hampton
Campbell,Hampton
High Point,Hampton
Hampton,Longwood
Hampton,Radford
Hampton,Winthrop
Hampton,USC Upstate
Hampton,Longwood
Campbell,Hampton
Central Conn. St.,Hartford
Utah St.,Hartford
Mississippi St.,Hartford
Hartford,Quinnipiac
Utah Valley,Hartford
Iona,Hartford
Sacred Heart,Hartford
Hartford,Bowling Green
Duke,Hartford
Hartford,Bryant
Hartford,Oakland
Wagner,Hartford
Hartford,Marist
Hartford,Boston College
Hartford,UMBC
Vermont,Hartford
Hartford,Maine
UMass Lowell,Hartford
Hartford,New Hampshire
Albany (NY),Hartford
Hartford,Binghamton
Stony Brook,Hartford
Hartford,UMBC
Hartford,Maine
Vermont,Hartford
Hartford,New Hampshire
Hartford,UMass Lowell
Hartford,Binghamton
Hartford,Albany (NY)
Stony Brook,Hartford
Hartford,UMass Lowell
UMBC,Hartford
Northeastern,Harvard
Harvard,Massachusetts
Rhode Island,Harvard
San Francisco,Harvard
Harvard,Saint Mary's (CA)
Harvard,Holy Cross
Siena,Harvard
Vermont,Harvard
Harvard,George Washington
Harvard,Mercer
North Carolina,Harvard
Dartmouth,Harvard
Harvard,Howard
Harvard,Dartmouth
Harvard,Yale
Harvard,Brown
Harvard,Columbia
Cornell,Harvard
Harvard,Princeton
Harvard,Penn
Brown,Harvard
Harvard,Yale
Harvard,Penn
Harvard,Princeton
Cornell,Harvard
Harvard,Columbia
Harvard,Penn
NA,NA
Hawaii,Portland
North Texas,Hawaii
Hawaii,Northern Ariz.
Hawaii,Utah
Seton Hall,Hawaii
Fresno St.,Hawaii
UCLA,Hawaii
Hawaii,Mississippi Val.
UNLV,Hawaii
Hawaii,Colorado
Hawaii,Rhode Island
Hawaii,Alabama A&M
Hawaii,Cal St. Fullerton
Hawaii,CSUN
UC Riverside,Hawaii
UC Irvine,Hawaii
Hawaii,UC Davis
Hawaii,Long Beach St.
UC Santa Barbara,Hawaii
Hawaii,Long Beach St.
UC Irvine,Hawaii
Hawaii,Cal Poly
Hawaii,UC Riverside
UC Santa Barbara,Hawaii
Cal Poly,Hawaii
CSUN,Hawaii
Hawaii,UC Davis
Hawaii,Cal St. Fullerton
Long Beach St.,Hawaii
William & Mary,High Point
Wofford,High Point
High Point,South Dakota
UMBC,High Point
High Point,Air Force
High Point,East Carolina
The Citadel,High Point
Eastern Ky.,High Point
High Point,Valparaiso
High Point,Western Caro.
Richmond,High Point
Ohio St.,High Point
High Point,Charleston So.
High Point,Presbyterian
Winthrop,High Point
High Point,USC Upstate
Longwood,High Point
High Point,UNC Asheville
Gardner-Webb,High Point
High Point,Hampton
High Point,Campbell
Radford,High Point
NA,NA
High Point,Hampton
Campbell,High Point
High Point,Gardner-Webb
Radford,High Point
High Point,UNC Asheville
Gardner-Webb,High Point
Marshall,Hofstra
Hofstra,N.C. A&T
Maryland,Hofstra
Hofstra,Cal St. Fullerton
VCU,Hofstra
Hofstra,Siena
Hofstra,Kennesaw St.
Hofstra,Monmouth
Hofstra,Rider
Hofstra,Manhattan
Hofstra,Stony Brook
Hofstra,Delaware
Hofstra,Drexel
Hofstra,Northeastern
Hofstra,William & Mary
Hofstra,Elon
Hofstra,UNCW
Hofstra,Col. of Charleston
Hofstra,James Madison
Hofstra,Towson
Northeastern,Hofstra
Hofstra,Elon
Hofstra,William & Mary
Hofstra,Col. of Charleston
UNCW,Hofstra
Hofstra,Towson
James Madison,Hofstra
Hofstra,Drexel
Hofstra,Delaware
Hofstra,James Madison
Hofstra,Delaware
Northeastern,Hofstra
Holy Cross,Sacred Heart
Michigan,Holy Cross
Providence,Holy Cross
Holy Cross,Stony Brook
Holy Cross,Siena
Holy Cross,Albany (NY)
Harvard,Holy Cross
Holy Cross,Fairleigh Dickinson
Holy Cross,Massachusetts
Rhode Island,Holy Cross
Holy Cross,Canisius
Holy Cross,Siena
Holy Cross,Iona
Holy Cross,Loyola Maryland
Navy,Holy Cross
Lehigh,Holy Cross
Holy Cross,Lafayette
Bucknell,Holy Cross
Loyola Maryland,Holy Cross
Army West Point,Holy Cross
Holy Cross,Navy
Boston U.,Holy Cross
American,Holy Cross
Holy Cross,Army West Point
Lafayette,Holy Cross
Colgate,Holy Cross
Holy Cross,Bucknell
Boston U.,Holy Cross
Holy Cross,Lehigh
Colgate,Holy Cross
American,Holy Cross
Holy Cross,Lafayette
Bucknell,Holy Cross
Houston,Alabama A&M
Houston,Rice
Houston,Northwestern St.
Houston,BYU
Houston,UTRGV
Houston,Oregon
Houston,Lamar University
Houston,Oklahoma St.
Houston,LSU
Houston,Saint Louis
Houston,Utah St.
Houston,Coppin St.
Houston,NJIT
Houston,Tulsa
Houston,Memphis
Temple,Houston
Houston,Wichita St.
Houston,SMU
Houston,South Fla.
Houston,East Carolina
Houston,Tulsa
Houston,Temple
Houston,UCF
Houston,Cincinnati
Houston,UConn
Houston,Tulane
Houston,South Fla.
Houston,East Carolina
UCF,Houston
Houston,SMU
Houston,Cincinnati
Houston,UConn
Houston,Memphis
NA,NA
Arizona,Houston Baptist
Houston Baptist,Fordham
Wisconsin,Houston Baptist
Houston Baptist,Wake Forest
UTSA,Houston Baptist
Louisiana Tech,Houston Baptist
Texas St.,Houston Baptist
Samford,Houston Baptist
Miami (FL),Houston Baptist
Houston Baptist,Lamar University
New Orleans,Houston Baptist
Nicholls St.,Houston Baptist
Abilene Christian,Houston Baptist
Sam Houston St.,Houston Baptist
Southeastern La.,Houston Baptist
McNeese,Houston Baptist
Houston Baptist,Incarnate Word
Houston Baptist,A&M-Corpus Christi
SFA,Houston Baptist
Houston Baptist,Central Ark.
Houston Baptist,Nicholls St.
Houston Baptist,Northwestern St.
Sam Houston St.,Houston Baptist
Lamar University,Houston Baptist
Houston Baptist,McNeese
Houston Baptist,Incarnate Word
A&M-Corpus Christi,Houston Baptist
Lamar University,Houston Baptist
Howard,Massachusetts
Southern Ill.,Howard
Little Rock,Howard
Howard,California Baptist
Appalachian St.,Howard
Howard,American
George Washington,Howard
Fordham,Howard
Ball St.,Howard
Hampton,Howard
Georgetown,Howard
Florida A&M,Howard
Howard,UMES
Bethune-Cookman,Howard
Morgan St.,Howard
Howard,South Carolina St.
Harvard,Howard
Howard,Delaware St.
Howard,UMES
Norfolk St.,Howard
Howard,Florida A&M
Howard,Bethune-Cookman
N.C. Central,Howard
Howard,Coppin St.
Howard,Morgan St.
Howard,Savannah St.
Howard,Norfolk St.
Howard,Bethune-Cookman
Norfolk St.,Howard
UC Irvine,Idaho
Nicholls St.,Idaho
UC Santa Barbara,Idaho
Idaho,North Dakota
Washington St.,Idaho
CSU Bakersfield,Idaho
Omaha,Idaho
Santa Clara,Idaho
Idaho St.,Idaho
Weber St.,Idaho
Idaho,Eastern Wash.
Northern Colo.,Idaho
Montana St.,Idaho
Montana,Idaho
Sacramento St.,Idaho
Portland St.,Idaho
Northern Ariz.,Idaho
Southern Utah,Idaho
Montana,Idaho
Montana St.,Idaho
Northern Colo.,Idaho
Eastern Wash.,Idaho
Northern Ariz.,Idaho
Southern Utah,Idaho
Portland St.,Idaho
Idaho,Sacramento St.
Weber St.,Idaho
Idaho St.,Idaho
Montana St.,Idaho
Gonzaga,Idaho St.
Idaho St.,Boise St.
Pacific,Idaho St.
Pepperdine,Idaho St.
Idaho St.,Santa Clara
Utah Valley,Idaho St.
UC Santa Barbara,Idaho St.
Idaho St.,Idaho
Eastern Wash.,Idaho St.
Idaho St.,Southern Utah
Northern Ariz.,Idaho St.
Idaho St.,Sacramento St.
Weber St.,Idaho St.
Northern Colo.,Idaho St.
Montana,Idaho St.
Montana St.,Idaho St.
Sacramento St.,Idaho St.
Idaho St.,Portland St.
Idaho St.,Northern Ariz.
Southern Utah,Idaho St.
Montana St.,Idaho St.
Montana,Idaho St.
Portland St.,Idaho St.
Northern Colo.,Idaho St.
Idaho St.,Weber St.
Eastern Wash.,Idaho St.
Idaho St.,Idaho
Southern Utah,Idaho St.
Illinois,Evansville
Georgetown,Illinois
Gonzaga,Illinois
Iowa St.,Illinois
Xavier,Illinois
Illinois,Mississippi Val.
Notre Dame,Illinois
Nebraska,Illinois
Ohio St.,Illinois
Illinois,UNLV
Illinois,ETSU
Missouri,Illinois
Fla. Atlantic,Illinois
Indiana,Illinois
Northwestern,Illinois
Michigan,Illinois
Illinois,Minnesota
Iowa,Illinois
Wisconsin,Illinois
Illinois,Maryland
Minnesota,Illinois
Illinois,Nebraska
Illinois,Michigan St.
Illinois,Rutgers
Illinois,Ohio St.
Wisconsin,Illinois
Penn St.,Illinois
Purdue,Illinois
Illinois,Northwestern
Indiana,Illinois
Penn St.,Illinois
Illinois,Northwestern
Iowa,Illinois
Illinois St.,FGCU
Belmont,Illinois St.
Illinois St.,Chicago St.
Georgia,Illinois St.
Illinois St.,Akron
Illinois St.,Boise St.
Illinois St.,BYU
San Diego St.,Illinois St.
UIC,Illinois St.
Ole Miss,Illinois St.
Illinois St.,Cleveland St.
UCF,Illinois St.
Valparaiso,Illinois St.
Illinois St.,Evansville
Illinois St.,UNI
Loyola Chicago,Illinois St.
Illinois St.,Southern Ill.
Illinois St.,Evansville
Bradley,Illinois St.
Illinois St.,Indiana St.
Illinois St.,Drake
Illinois St.,Loyola Chicago
Valparaiso,Illinois St.
Missouri St.,Illinois St.
UNI,Illinois St.
Bradley,Illinois St.
Indiana St.,Illinois St.
Illinois St.,Drake
Illinois St.,Missouri St.
Southern Ill.,Illinois St.
Illinois St.,Evansville
Drake,Illinois St.
Texas Tech,Incarnate Word
Montana,Incarnate Word
Incarnate Word,North Dakota St.
Fla. Atlantic,Incarnate Word
Northern Colo.,Incarnate Word
SIUE,Incarnate Word
LSU,Incarnate Word
UIC,Incarnate Word
DePaul,Incarnate Word
McNeese,Incarnate Word
Incarnate Word,Nicholls St.
Sam Houston St.,Incarnate Word
Central Ark.,Incarnate Word
SFA,Incarnate Word
Lamar University,Incarnate Word
New Orleans,Incarnate Word
Houston Baptist,Incarnate Word
New Orleans,Incarnate Word
A&M-Corpus Christi,Incarnate Word
Southeastern La.,Incarnate Word
Abilene Christian,Incarnate Word
Lamar University,Incarnate Word
SFA,Incarnate Word
Northwestern St.,Incarnate Word
A&M-Corpus Christi,Incarnate Word
Houston Baptist,Incarnate Word
NA,NA
Indiana,Chicago St.
Indiana,Montana St.
Indiana,Marquette
Arkansas,Indiana
Indiana,UT Arlington
Indiana,UC Davis
Duke,Indiana
Indiana,Northwestern
Indiana,Penn St.
Indiana,Louisville
Indiana,Butler
Indiana,Central Ark.
Indiana,Jacksonville
Indiana,Illinois
Michigan,Indiana
Maryland,Indiana
Nebraska,Indiana
Purdue,Indiana
Northwestern,Indiana
Michigan,Indiana
Rutgers,Indiana
Indiana,Michigan St.
Iowa,Indiana
Ohio St.,Indiana
Minnesota,Indiana
Purdue,Indiana
Iowa,Indiana
Indiana,Wisconsin
Indiana,Michigan St.
Indiana,Illinois
Indiana,Rutgers
Ohio St.,Indiana
Ball St.,Indiana St.
Indiana St.,Green Bay
Indiana St.,Western Ky.
Indiana St.,San Jose St.
Indiana St.,Wright St.
North Texas,Indiana St.
TCU,Indiana St.
Indiana St.,Colorado
Indiana St.,UNLV
TCU,Indiana St.
Loyola Chicago,Indiana St.
Indiana St.,Bradley
Missouri St.,Indiana St.
Indiana St.,Evansville
UNI,Indiana St.
Loyola Chicago,Indiana St.
Indiana St.,Valparaiso
Illinois St.,Indiana St.
Southern Ill.,Indiana St.
Drake,Indiana St.
Indiana St.,Evansville
Bradley,Indiana St.
Indiana St.,Valparaiso
Southern Ill.,Indiana St.
Indiana St.,Illinois St.
Missouri St.,Indiana St.
Drake,Indiana St.
Indiana St.,UNI
Valparaiso,Indiana St.
Iona,Albany (NY)
New Mexico,Iona
Long Beach St.,Iona
Iona,Hartford
Providence,Iona
Ohio,Iona
VCU,Iona
Columbia,Iona
Princeton,Iona
Yale,Iona
Holy Cross,Iona
Iona,Monmouth
Iona,Fairfield
Niagara,Iona
Iona,Canisius
Iona,Marist
Monmouth,Iona
Iona,Rider
Fairfield,Iona
Marist,Iona
Siena,Iona
Quinnipiac,Iona
Iona,Niagara
Iona,Siena
Iona,Saint Peter's
Iona,Quinnipiac
Iona,Manhattan
Iona,Canisius
Iona,Rider
Iona,Saint Peter's
Iona,Siena
Iona,Monmouth
Iowa,UMKC
Iowa,Green Bay
Iowa,Oregon
Iowa,UConn
Iowa,Alabama St.
Iowa,Pittsburgh
Wisconsin,Iowa
Michigan St.,Iowa
Iowa,Iowa St.
Iowa,UNI
Iowa,Western Caro.
Iowa,Savannah St.
Iowa,Bryant
Purdue,Iowa
Iowa,Nebraska
Iowa,Northwestern
Iowa,Ohio St.
Iowa,Penn St.
Iowa,Illinois
Michigan St.,Iowa
Minnesota,Iowa
Iowa,Michigan
Iowa,Indiana
Iowa,Northwestern
Iowa,Rutgers
Maryland,Iowa
Iowa,Indiana
Ohio St.,Iowa
Rutgers,Iowa
Wisconsin,Iowa
Nebraska,Iowa
Iowa,Illinois
Michigan,Iowa
Iowa St.,Alabama St.
Iowa St.,Missouri
Iowa St.,Texas Southern
Arizona,Iowa St.
Iowa St.,Illinois
Iowa St.,San Diego St.
Iowa St.,Omaha
Iowa St.,North Dakota St.
Iowa,Iowa St.
Iowa St.,Southern U.
Iowa St.,Drake
Iowa St.,Eastern Ill.
Iowa St.,Oklahoma St.
Iowa St.,Kansas
Baylor,Iowa St.
Kansas St.,Iowa St.
Iowa St.,Texas Tech
Iowa St.,Oklahoma St.
Kansas,Iowa St.
Iowa St.,Ole Miss
Iowa St.,West Virginia
Iowa St.,Texas
Iowa St.,Oklahoma
TCU,Iowa St.
Iowa St.,Kansas St.
Baylor,Iowa St.
TCU,Iowa St.
Iowa St.,Oklahoma
Texas,Iowa St.
West Virginia,Iowa St.
Texas Tech,Iowa St.
Iowa St.,Baylor
Iowa St.,Kansas St.
Iowa St.,Kansas
Xavier,IUPUI
IUPUI,Eastern Ill.
IUPUI,Boston College
Richmond,IUPUI
IUPUI,St. Francis Brooklyn
IUPUI,Grambling
IUPUI,Bradley
Ball St.,IUPUI
IUPUI,Western Ill.
Purdue Fort Wayne,IUPUI
Morehead St.,IUPUI
Northern Ky.,IUPUI
Wright St.,IUPUI
IUPUI,UIC
IUPUI,Cleveland St.
Youngstown St.,IUPUI
IUPUI,Green Bay
Milwaukee,IUPUI
IUPUI,Oakland
IUPUI,Detroit Mercy
IUPUI,Northern Ky.
Wright St.,IUPUI
UIC,IUPUI
Youngstown St.,IUPUI
Cleveland St.,IUPUI
IUPUI,Milwaukee
IUPUI,Green Bay
Detroit Mercy,IUPUI
Oakland,IUPUI
Wright St.,IUPUI
La.-Monroe,Jackson St.
St. Bonaventure,Jackson St.
Boise St.,Jackson St.
Sam Houston St.,Jackson St.
Jackson St.,Chicago St.
San Diego,Jackson St.
San Diego St.,Jackson St.
Santa Clara,Jackson St.
Pepperdine,Jackson St.
Murray St.,Jackson St.
Central Mich.,Jackson St.
Jackson St.,Alabama A&M
Alabama St.,Jackson St.
Jackson St.,Alcorn
Jackson St.,Southern U.
Prairie View,Jackson St.
Texas Southern,Jackson St.
Jackson St.,Grambling
Jackson St.,Mississippi Val.
Jackson St.,Ark.-Pine Bluff
Alcorn,Jackson St.
Southern U.,Jackson St.
Prairie View,Jackson St.
Texas Southern,Jackson St.
Jackson St.,Grambling
Mississippi Val.,Jackson St.
Jackson St.,Ark.-Pine Bluff
Jackson St.,Alabama A&M
NA,NA
Alabama St.,Jackson St.
Florida A&M,Jacksonville
Northern Ariz.,Jacksonville
Grand Canyon,Jacksonville
Southeast Mo. St.,Jacksonville
Jacksonville,South Alabama
Jacksonville,Chattanooga
Western Caro.,Jacksonville
Jacksonville,South Carolina St.
Jacksonville,Presbyterian
Jacksonville,Bethune-Cookman
Notre Dame,Jacksonville
Indiana,Jacksonville
Presbyterian,Jacksonville
Lipscomb,Jacksonville
Jacksonville,Kennesaw St.
Liberty,Jacksonville
North Ala.,Jacksonville
NJIT,Jacksonville
Jacksonville,North Florida
Liberty,Jacksonville
Jacksonville,Stetson
FGCU,Jacksonville
Jacksonville,Kennesaw St.
Lipscomb,Jacksonville
Jacksonville,Stetson
North Florida,Jacksonville
NJIT,Jacksonville
North Ala.,Jacksonville
FGCU,Jacksonville
Liberty,Jacksonville
Samford,Jacksonville St.
Penn St.,Jacksonville St.
Bradley,Jacksonville St.
Jacksonville St.,Western Caro.
Jacksonville St.,North Florida
Jacksonville St.,North Ala.
Jacksonville St.,Delaware St.
Wichita St.,Jacksonville St.
Jacksonville St.,Evansville
Jacksonville St.,North Ala.
West Virginia,Jacksonville St.
Jacksonville St.,Belmont
Jacksonville St.,Tennessee St.
Jacksonville St.,Eastern Ill.
Jacksonville St.,SIUE
Jacksonville St.,Belmont
Jacksonville St.,Tennessee Tech
Eastern Ky.,Jacksonville St.
Jacksonville St.,Morehead St.
Jacksonville St.,Murray St.
Austin Peay,Jacksonville St.
UT Martin,Jacksonville St.
Jacksonville St.,Southeast Mo. St.
Jacksonville St.,Tennessee Tech
Jacksonville St.,Tennessee St.
Jacksonville St.,Morehead St.
Jacksonville St.,Eastern Ky.
Jacksonville St.,Eastern Ill.
Jacksonville St.,SIUE
Jacksonville St.,UT Martin
Murray St.,Jacksonville St.
James Madison,East Carolina
James Madison,Charlotte
The Citadel,James Madison
Oakland,James Madison
James Madison,Northern Ill.
Oral Roberts,James Madison
James Madison,Coppin St.
Old Dominion,James Madison
James Madison,Radford
George Mason,James Madison
Fordham,James Madison
William & Mary,James Madison
Elon,James Madison
UNCW,James Madison
James Madison,Col. of Charleston
James Madison,Towson
Delaware,James Madison
Drexel,James Madison
Hofstra,James Madison
Northeastern,James Madison
Col. of Charleston,James Madison
James Madison,UNCW
Towson,James Madison
James Madison,Drexel
James Madison,Delaware
Northeastern,James Madison
James Madison,Hofstra
Elon,James Madison
William & Mary,James Madison
James Madison,Towson
Hofstra,James Madison
